year,N.tot,N.btf,sub.harv,com.harv
2008,219709,173932,36944,8833
2009,189370,148560,34146,6664
2010,112975,79980,31376,1619
2011,113749,82845,30592,312
2012,79237.5,70066.5,9035,136
2013,84311.4,59815.4,24445,51
2014,84326.1,80106.1,4185,35
2015,125058,116222,8828,8
2016,128855,114406,14449,0
2017,133267,125083,8184,0
